"","exp_name","cell_name","AITC.100uM","Menthol.400uM","Capsaicin.300nM","K.40mM"
"X.7331","RD.190125.71.f.m1.w2.Rdata","X.733",1,0,1,1
"X.7341","RD.190125.71.f.m1.w2.Rdata","X.734",0,0,1,1
"X.7351","RD.190125.71.f.m1.w2.Rdata","X.735",0,0,0,0
"X.7361","RD.190125.71.f.m1.w2.Rdata","X.736",1,1,1,1
"X.7371","RD.190125.71.f.m1.w2.Rdata","X.737",1,1,0,1
"X.7381","RD.190125.71.f.m1.w2.Rdata","X.738",1,1,0,1
"X.7391","RD.190125.71.f.m1.w2.Rdata","X.739",0,1,1,1
"X.7401","RD.190125.71.f.m1.w2.Rdata","X.740",0,0,0,0
"X.7411","RD.190125.71.f.m1.w2.Rdata","X.741",0,0,0,0
"X.7421","RD.190125.71.f.m1.w2.Rdata","X.742",0,0,0,0
"X.7431","RD.190125.71.f.m1.w2.Rdata","X.743",0,0,0,0
"X.7441","RD.190125.71.f.m1.w2.Rdata","X.744",0,0,0,0
"X.7451","RD.190125.71.f.m1.w2.Rdata","X.745",1,1,1,1
"X.7461","RD.190125.71.f.m1.w2.Rdata","X.746",0,0,1,1
"X.7471","RD.190125.71.f.m1.w2.Rdata","X.747",1,1,1,1
"X.7481","RD.190125.71.f.m1.w2.Rdata","X.748",1,1,0,0
"X.7491","RD.190125.71.f.m1.w2.Rdata","X.749",0,0,0,0
"X.7501","RD.190125.71.f.m1.w2.Rdata","X.750",0,1,0,1
"X.7511","RD.190125.71.f.m1.w2.Rdata","X.751",0,0,1,1
"X.7521","RD.190125.71.f.m1.w2.Rdata","X.752",1,1,1,1
"X.7531","RD.190125.71.f.m1.w2.Rdata","X.753",0,0,0,1
"X.7541","RD.190125.71.f.m1.w2.Rdata","X.754",0,1,0,1
"X.7551","RD.190125.71.f.m1.w2.Rdata","X.755",0,0,0,0
"X.7561","RD.190125.71.f.m1.w2.Rdata","X.756",0,0,0,0
"X.7571","RD.190125.71.f.m1.w2.Rdata","X.757",0,0,0,0
"X.7581","RD.190125.71.f.m1.w2.Rdata","X.758",0,0,1,1
"X.7591","RD.190125.71.f.m1.w2.Rdata","X.759",1,1,0,1
"X.7601","RD.190125.71.f.m1.w2.Rdata","X.760",0,0,0,0
"X.7611","RD.190125.71.f.m1.w2.Rdata","X.761",0,0,0,0
"X.7621","RD.190125.71.f.m1.w2.Rdata","X.762",0,1,0,0
"X.7631","RD.190125.71.f.m1.w2.Rdata","X.763",0,0,0,0
"X.7641","RD.190125.71.f.m1.w2.Rdata","X.764",0,0,1,1
"X.1335","RD.190130.71.m.m1.w1.Rdata","X.1",0,0,0,0
"X.2102","RD.190130.71.m.m1.w1.Rdata","X.2",0,0,0,0
"X.3102","RD.190130.71.m.m1.w1.Rdata","X.3",1,1,0,1
"X.4102","RD.190130.71.m.m1.w1.Rdata","X.4",0,0,0,0
"X.5102","RD.190130.71.m.m1.w1.Rdata","X.5",0,0,0,0
"X.6102","RD.190130.71.m.m1.w1.Rdata","X.6",1,0,0,0
"X.7100","RD.190130.71.m.m1.w1.Rdata","X.7",0,0,0,1
"X.8100","RD.190130.71.m.m1.w1.Rdata","X.8",0,0,0,0
"X.9100","RD.190130.71.m.m1.w1.Rdata","X.9",1,0,1,1
"X.10100","RD.190130.71.m.m1.w1.Rdata","X.10",1,1,1,1
"X.11100","RD.190130.71.m.m1.w1.Rdata","X.11",0,0,0,1
"X.12100","RD.190130.71.m.m1.w1.Rdata","X.12",1,1,0,1
"X.1336","RD.190130.71.m.m1.w1.Rdata","X.13",1,1,0,1
"X.1412","RD.190130.71.m.m1.w1.Rdata","X.14",0,0,0,0
"X.1512","RD.190130.71.m.m1.w1.Rdata","X.15",1,1,0,1
"X.1612","RD.190130.71.m.m1.w1.Rdata","X.16",0,0,0,0
"X.1712","RD.190130.71.m.m1.w1.Rdata","X.17",0,0,0,0
"X.1812","RD.190130.71.m.m1.w1.Rdata","X.18",0,1,1,1
"X.1912","RD.190130.71.m.m1.w1.Rdata","X.19",1,1,0,1
"X.2012","RD.190130.71.m.m1.w1.Rdata","X.20",0,0,0,0
"X.2112","RD.190130.71.m.m1.w1.Rdata","X.21",0,0,0,0
"X.2212","RD.190130.71.m.m1.w1.Rdata","X.22",0,0,1,1
"X.2312","RD.190130.71.m.m1.w1.Rdata","X.23",0,0,0,1
"X.2412","RD.190130.71.m.m1.w1.Rdata","X.24",0,0,0,0
"X.2512","RD.190130.71.m.m1.w1.Rdata","X.25",1,0,1,1
"X.2612","RD.190130.71.m.m1.w1.Rdata","X.26",0,1,0,0
"X.2712","RD.190130.71.m.m1.w1.Rdata","X.27",0,0,0,0
"X.2812","RD.190130.71.m.m1.w1.Rdata","X.28",0,0,0,0
"X.2912","RD.190130.71.m.m1.w1.Rdata","X.29",0,0,0,0
"X.3012","RD.190130.71.m.m1.w1.Rdata","X.30",0,0,0,1
"X.3112","RD.190130.71.m.m1.w1.Rdata","X.31",0,1,0,1
"X.3212","RD.190130.71.m.m1.w1.Rdata","X.32",1,0,1,1
"X.3312","RD.190130.71.m.m1.w1.Rdata","X.33",0,0,0,0
"X.3412","RD.190130.71.m.m1.w1.Rdata","X.34",0,0,0,0
"X.3512","RD.190130.71.m.m1.w1.Rdata","X.35",0,1,0,0
"X.3612","RD.190130.71.m.m1.w1.Rdata","X.36",1,0,0,1
"X.3712","RD.190130.71.m.m1.w1.Rdata","X.37",0,0,0,0
"X.3812","RD.190130.71.m.m1.w1.Rdata","X.38",0,0,1,1
"X.3912","RD.190130.71.m.m1.w1.Rdata","X.39",0,0,0,0
"X.4012","RD.190130.71.m.m1.w1.Rdata","X.40",1,1,0,1
"X.4112","RD.190130.71.m.m1.w1.Rdata","X.41",1,1,0,1
"X.4212","RD.190130.71.m.m1.w1.Rdata","X.42",0,0,0,0
"X.4312","RD.190130.71.m.m1.w1.Rdata","X.43",1,0,0,1
"X.4412","RD.190130.71.m.m1.w1.Rdata","X.44",0,0,1,1
"X.4512","RD.190130.71.m.m1.w1.Rdata","X.45",0,0,0,1
"X.4612","RD.190130.71.m.m1.w1.Rdata","X.46",0,0,0,1
"X.4712","RD.190130.71.m.m1.w1.Rdata","X.47",0,0,0,0
"X.4812","RD.190130.71.m.m1.w1.Rdata","X.48",0,0,0,0
"X.4912","RD.190130.71.m.m1.w1.Rdata","X.49",1,1,0,1
"X.5012","RD.190130.71.m.m1.w1.Rdata","X.50",0,1,0,1
"X.5112","RD.190130.71.m.m1.w1.Rdata","X.51",0,0,1,1
"X.5212","RD.190130.71.m.m1.w1.Rdata","X.52",1,0,0,1
"X.5312","RD.190130.71.m.m1.w1.Rdata","X.53",1,0,1,1
"X.5412","RD.190130.71.m.m1.w1.Rdata","X.54",0,0,0,0
"X.5512","RD.190130.71.m.m1.w1.Rdata","X.55",1,1,1,1
"X.5612","RD.190130.71.m.m1.w1.Rdata","X.56",0,0,0,0
"X.5712","RD.190130.71.m.m1.w1.Rdata","X.57",0,0,0,1
"X.5812","RD.190130.71.m.m1.w1.Rdata","X.58",1,0,1,1
"X.5912","RD.190130.71.m.m1.w1.Rdata","X.59",0,0,0,0
"X.6012","RD.190130.71.m.m1.w1.Rdata","X.60",1,1,0,1
"X.6112","RD.190130.71.m.m1.w1.Rdata","X.61",1,1,0,1
"X.6212","RD.190130.71.m.m1.w1.Rdata","X.62",0,0,0,0
"X.6312","RD.190130.71.m.m1.w1.Rdata","X.63",0,1,0,1
"X.6412","RD.190130.71.m.m1.w1.Rdata","X.64",0,0,0,0
"X.6512","RD.190130.71.m.m1.w1.Rdata","X.65",1,0,0,1
"X.6612","RD.190130.71.m.m1.w1.Rdata","X.66",0,0,1,1
"X.6712","RD.190130.71.m.m1.w1.Rdata","X.67",0,0,0,1
"X.6812","RD.190130.71.m.m1.w1.Rdata","X.68",0,0,0,0
"X.6912","RD.190130.71.m.m1.w1.Rdata","X.69",0,0,0,0
"X.7012","RD.190130.71.m.m1.w1.Rdata","X.70",0,0,0,0
"X.7112","RD.190130.71.m.m1.w1.Rdata","X.71",0,1,0,0
"X.7212","RD.190130.71.m.m1.w1.Rdata","X.72",0,0,0,0
"X.7312","RD.190130.71.m.m1.w1.Rdata","X.73",0,0,0,0
"X.7412","RD.190130.71.m.m1.w1.Rdata","X.74",0,0,0,0
"X.7512","RD.190130.71.m.m1.w1.Rdata","X.75",0,0,0,0
"X.7612","RD.190130.71.m.m1.w1.Rdata","X.76",1,1,1,1
"X.7711","RD.190130.71.m.m1.w1.Rdata","X.77",0,0,0,0
"X.7810","RD.190130.71.m.m1.w1.Rdata","X.78",0,0,0,0
"X.7910","RD.190130.71.m.m1.w1.Rdata","X.79",0,0,0,0
"X.8010","RD.190130.71.m.m1.w1.Rdata","X.80",0,0,1,1
"X.8110","RD.190130.71.m.m1.w1.Rdata","X.81",1,1,1,1
"X.8210","RD.190130.71.m.m1.w1.Rdata","X.82",0,0,0,0
"X.8310","RD.190130.71.m.m1.w1.Rdata","X.83",0,1,1,1
"X.8410","RD.190130.71.m.m1.w1.Rdata","X.84",0,0,0,1
"X.8510","RD.190130.71.m.m1.w1.Rdata","X.85",1,1,0,1
"X.8610","RD.190130.71.m.m1.w1.Rdata","X.86",0,1,0,0
"X.8710","RD.190130.71.m.m1.w1.Rdata","X.87",0,0,0,0
"X.8810","RD.190130.71.m.m1.w1.Rdata","X.88",0,0,0,0
"X.8910","RD.190130.71.m.m1.w1.Rdata","X.89",0,0,0,0
"X.9010","RD.190130.71.m.m1.w1.Rdata","X.90",0,0,1,1
"X.9110","RD.190130.71.m.m1.w1.Rdata","X.91",0,0,1,1
"X.9210","RD.190130.71.m.m1.w1.Rdata","X.92",0,0,0,1
"X.9310","RD.190130.71.m.m1.w1.Rdata","X.93",1,0,1,1
"X.9410","RD.190130.71.m.m1.w1.Rdata","X.94",0,0,0,0
"X.9510","RD.190130.71.m.m1.w1.Rdata","X.95",0,0,0,0
"X.9610","RD.190130.71.m.m1.w1.Rdata","X.96",1,1,0,1
"X.9710","RD.190130.71.m.m1.w1.Rdata","X.97",0,1,1,1
"X.9810","RD.190130.71.m.m1.w1.Rdata","X.98",0,1,0,0
"X.9910","RD.190130.71.m.m1.w1.Rdata","X.99",0,1,0,1
"X.10010","RD.190130.71.m.m1.w1.Rdata","X.100",0,1,1,1
"X.10110","RD.190130.71.m.m1.w1.Rdata","X.101",0,1,0,1
"X.10210","RD.190130.71.m.m1.w1.Rdata","X.102",1,1,0,0
"X.10310","RD.190130.71.m.m1.w1.Rdata","X.103",0,0,0,0
"X.10410","RD.190130.71.m.m1.w1.Rdata","X.104",0,1,0,0
"X.10510","RD.190130.71.m.m1.w1.Rdata","X.105",0,1,0,0
"X.10610","RD.190130.71.m.m1.w1.Rdata","X.106",0,1,1,1
"X.10710","RD.190130.71.m.m1.w1.Rdata","X.107",0,0,0,0
"X.10810","RD.190130.71.m.m1.w1.Rdata","X.108",0,1,1,1
"X.10910","RD.190130.71.m.m1.w1.Rdata","X.109",0,1,0,0
"X.11010","RD.190130.71.m.m1.w1.Rdata","X.110",0,0,0,0
"X.11110","RD.190130.71.m.m1.w1.Rdata","X.111",1,1,0,1
"X.11210","RD.190130.71.m.m1.w1.Rdata","X.112",0,1,1,1
"X.11310","RD.190130.71.m.m1.w1.Rdata","X.113",0,0,1,1
"X.11410","RD.190130.71.m.m1.w1.Rdata","X.114",1,1,0,1
"X.11510","RD.190130.71.m.m1.w1.Rdata","X.115",1,0,0,0
"X.11610","RD.190130.71.m.m1.w1.Rdata","X.116",1,1,0,1
"X.11710","RD.190130.71.m.m1.w1.Rdata","X.117",0,0,1,1
"X.11810","RD.190130.71.m.m1.w1.Rdata","X.118",0,1,0,1
"X.11910","RD.190130.71.m.m1.w1.Rdata","X.119",1,1,0,1
"X.12010","RD.190130.71.m.m1.w1.Rdata","X.120",0,0,0,0
"X.12110","RD.190130.71.m.m1.w1.Rdata","X.121",1,1,0,1
"X.12210","RD.190130.71.m.m1.w1.Rdata","X.122",0,0,0,0
"X.12310","RD.190130.71.m.m1.w1.Rdata","X.123",1,0,1,0
"X.12410","RD.190130.71.m.m1.w1.Rdata","X.124",0,1,0,1
"X.12510","RD.190130.71.m.m1.w1.Rdata","X.125",0,0,0,0
"X.12610","RD.190130.71.m.m1.w1.Rdata","X.126",0,0,0,0
"X.12710","RD.190130.71.m.m1.w1.Rdata","X.127",0,1,0,1
"X.12810","RD.190130.71.m.m1.w1.Rdata","X.128",0,1,0,1
"X.12910","RD.190130.71.m.m1.w1.Rdata","X.129",0,0,0,0
"X.13010","RD.190130.71.m.m1.w1.Rdata","X.130",0,0,0,1
"X.13110","RD.190130.71.m.m1.w1.Rdata","X.131",0,0,1,1
"X.13210","RD.190130.71.m.m1.w1.Rdata","X.132",1,0,0,1
"X.1337","RD.190130.71.m.m1.w1.Rdata","X.133",1,1,1,1
"X.1342","RD.190130.71.m.m1.w1.Rdata","X.134",1,0,1,1
"X.1352","RD.190130.71.m.m1.w1.Rdata","X.135",1,0,1,0
"X.1362","RD.190130.71.m.m1.w1.Rdata","X.136",0,0,1,1
"X.1372","RD.190130.71.m.m1.w1.Rdata","X.137",0,0,0,0
"X.1382","RD.190130.71.m.m1.w1.Rdata","X.138",0,0,0,0
"X.1392","RD.190130.71.m.m1.w1.Rdata","X.139",0,0,1,1
"X.1402","RD.190130.71.m.m1.w1.Rdata","X.140",1,1,1,1
"X.1413","RD.190130.71.m.m1.w1.Rdata","X.141",0,0,0,0
"X.1422","RD.190130.71.m.m1.w1.Rdata","X.142",0,0,0,0
"X.1432","RD.190130.71.m.m1.w1.Rdata","X.143",1,1,0,1
"X.1442","RD.190130.71.m.m1.w1.Rdata","X.144",0,0,0,0
"X.1452","RD.190130.71.m.m1.w1.Rdata","X.145",1,0,1,1
"X.1462","RD.190130.71.m.m1.w1.Rdata","X.146",1,0,1,0
"X.1472","RD.190130.71.m.m1.w1.Rdata","X.147",0,0,0,0
"X.1482","RD.190130.71.m.m1.w1.Rdata","X.148",1,0,0,1
"X.1492","RD.190130.71.m.m1.w1.Rdata","X.149",0,1,0,1
"X.1502","RD.190130.71.m.m1.w1.Rdata","X.150",1,1,0,1
"X.1513","RD.190130.71.m.m1.w1.Rdata","X.151",1,0,1,1
"X.1522","RD.190130.71.m.m1.w1.Rdata","X.152",0,0,0,0
"X.1532","RD.190130.71.m.m1.w1.Rdata","X.153",1,0,0,0
"X.1542","RD.190130.71.m.m1.w1.Rdata","X.154",1,1,0,1
"X.1552","RD.190130.71.m.m1.w1.Rdata","X.155",0,0,1,1
"X.1562","RD.190130.71.m.m1.w1.Rdata","X.156",1,0,1,1
"X.1572","RD.190130.71.m.m1.w1.Rdata","X.157",0,1,0,1
"X.1582","RD.190130.71.m.m1.w1.Rdata","X.158",1,0,0,1
"X.1592","RD.190130.71.m.m1.w1.Rdata","X.159",0,0,0,0
"X.1602","RD.190130.71.m.m1.w1.Rdata","X.160",0,0,0,0
"X.1613","RD.190130.71.m.m1.w1.Rdata","X.161",0,0,0,0
"X.1622","RD.190130.71.m.m1.w1.Rdata","X.162",1,0,0,1
"X.1632","RD.190130.71.m.m1.w1.Rdata","X.163",1,1,0,1
"X.1642","RD.190130.71.m.m1.w1.Rdata","X.164",0,0,0,0
"X.1652","RD.190130.71.m.m1.w1.Rdata","X.165",0,0,0,0
"X.1662","RD.190130.71.m.m1.w1.Rdata","X.166",0,0,0,0
"X.1672","RD.190130.71.m.m1.w1.Rdata","X.167",0,1,0,1
"X.1682","RD.190130.71.m.m1.w1.Rdata","X.168",0,0,0,0
"X.1692","RD.190130.71.m.m1.w1.Rdata","X.169",0,0,0,0
"X.1702","RD.190130.71.m.m1.w1.Rdata","X.170",0,0,1,1
"X.1713","RD.190130.71.m.m1.w1.Rdata","X.171",0,0,0,0
"X.1722","RD.190130.71.m.m1.w1.Rdata","X.172",0,0,1,1
"X.1732","RD.190130.71.m.m1.w1.Rdata","X.173",0,1,0,1
"X.1742","RD.190130.71.m.m1.w1.Rdata","X.174",1,1,0,1
"X.1752","RD.190130.71.m.m1.w1.Rdata","X.175",1,1,0,1
"X.1762","RD.190130.71.m.m1.w1.Rdata","X.176",0,0,0,0
"X.1772","RD.190130.71.m.m1.w1.Rdata","X.177",0,1,0,1
"X.1782","RD.190130.71.m.m1.w1.Rdata","X.178",0,0,0,0
"X.1792","RD.190130.71.m.m1.w1.Rdata","X.179",0,0,0,0
"X.1802","RD.190130.71.m.m1.w1.Rdata","X.180",0,0,1,1
"X.1813","RD.190130.71.m.m1.w1.Rdata","X.181",1,1,1,1
"X.1822","RD.190130.71.m.m1.w1.Rdata","X.182",0,0,0,0
"X.1832","RD.190130.71.m.m1.w1.Rdata","X.183",1,1,0,1
"X.1842","RD.190130.71.m.m1.w1.Rdata","X.184",1,1,0,1
"X.1852","RD.190130.71.m.m1.w1.Rdata","X.185",1,1,0,1
"X.1862","RD.190130.71.m.m1.w1.Rdata","X.186",0,0,0,0
"X.1872","RD.190130.71.m.m1.w1.Rdata","X.187",0,0,0,0
"X.1882","RD.190130.71.m.m1.w1.Rdata","X.188",0,0,0,0
"X.1892","RD.190130.71.m.m1.w1.Rdata","X.189",1,0,0,1
"X.1902","RD.190130.71.m.m1.w1.Rdata","X.190",0,0,0,0
"X.1913","RD.190130.71.m.m1.w1.Rdata","X.191",0,0,0,0
"X.1922","RD.190130.71.m.m1.w1.Rdata","X.192",0,0,0,0
"X.1932","RD.190130.71.m.m1.w1.Rdata","X.193",0,0,0,0
"X.1942","RD.190130.71.m.m1.w1.Rdata","X.194",1,1,0,1
"X.1952","RD.190130.71.m.m1.w1.Rdata","X.195",0,0,0,1
"X.1962","RD.190130.71.m.m1.w1.Rdata","X.196",0,0,0,1
"X.1972","RD.190130.71.m.m1.w1.Rdata","X.197",0,0,0,0
"X.1982","RD.190130.71.m.m1.w1.Rdata","X.198",1,1,0,1
"X.1992","RD.190130.71.m.m1.w1.Rdata","X.199",1,1,0,1
"X.2002","RD.190130.71.m.m1.w1.Rdata","X.200",1,1,1,1
"X.2013","RD.190130.71.m.m1.w1.Rdata","X.201",1,1,1,1
"X.2022","RD.190130.71.m.m1.w1.Rdata","X.202",0,0,0,0
"X.2032","RD.190130.71.m.m1.w1.Rdata","X.203",0,0,0,0
"X.2042","RD.190130.71.m.m1.w1.Rdata","X.204",1,1,1,1
"X.2052","RD.190130.71.m.m1.w1.Rdata","X.205",1,0,1,1
"X.2062","RD.190130.71.m.m1.w1.Rdata","X.206",0,1,0,0
"X.2072","RD.190130.71.m.m1.w1.Rdata","X.207",1,0,1,1
"X.2082","RD.190130.71.m.m1.w1.Rdata","X.208",0,0,1,1
"X.2092","RD.190130.71.m.m1.w1.Rdata","X.209",0,0,1,1
"X.2103","RD.190130.71.m.m1.w1.Rdata","X.210",0,0,0,0
"X.2113","RD.190130.71.m.m1.w1.Rdata","X.211",0,1,1,1
"X.2122","RD.190130.71.m.m1.w1.Rdata","X.212",1,1,0,1
"X.2132","RD.190130.71.m.m1.w1.Rdata","X.213",0,0,0,0
"X.2142","RD.190130.71.m.m1.w1.Rdata","X.214",0,0,1,1
"X.2152","RD.190130.71.m.m1.w1.Rdata","X.215",1,0,0,0
"X.2162","RD.190130.71.m.m1.w1.Rdata","X.216",0,0,0,0
"X.2172","RD.190130.71.m.m1.w1.Rdata","X.217",0,0,1,1
"X.2182","RD.190130.71.m.m1.w1.Rdata","X.218",0,1,1,1
"X.2192","RD.190130.71.m.m1.w1.Rdata","X.219",0,0,0,0
"X.2202","RD.190130.71.m.m1.w1.Rdata","X.220",0,0,0,0
"X.2213","RD.190130.71.m.m1.w1.Rdata","X.221",1,1,1,1
"X.2222","RD.190130.71.m.m1.w1.Rdata","X.222",1,0,1,1
"X.2232","RD.190130.71.m.m1.w1.Rdata","X.223",1,1,0,1
"X.2242","RD.190130.71.m.m1.w1.Rdata","X.224",0,0,0,0
"X.2252","RD.190130.71.m.m1.w1.Rdata","X.225",1,0,0,1
"X.2262","RD.190130.71.m.m1.w1.Rdata","X.226",0,0,0,1
"X.2272","RD.190130.71.m.m1.w1.Rdata","X.227",1,0,0,0
"X.2282","RD.190130.71.m.m1.w1.Rdata","X.228",0,0,0,0
"X.2292","RD.190130.71.m.m1.w1.Rdata","X.229",1,1,1,1
"X.2302","RD.190130.71.m.m1.w1.Rdata","X.230",1,0,1,1
"X.2313","RD.190130.71.m.m1.w1.Rdata","X.231",1,1,0,1
"X.2322","RD.190130.71.m.m1.w1.Rdata","X.232",0,0,1,1
"X.2332","RD.190130.71.m.m1.w1.Rdata","X.233",1,1,1,1
"X.2342","RD.190130.71.m.m1.w1.Rdata","X.234",0,1,0,1
"X.2352","RD.190130.71.m.m1.w1.Rdata","X.235",1,1,0,1
"X.2362","RD.190130.71.m.m1.w1.Rdata","X.236",0,0,0,0
"X.2372","RD.190130.71.m.m1.w1.Rdata","X.237",1,0,1,1
"X.2382","RD.190130.71.m.m1.w1.Rdata","X.238",0,0,0,1
"X.2392","RD.190130.71.m.m1.w1.Rdata","X.239",0,0,0,0
"X.2402","RD.190130.71.m.m1.w1.Rdata","X.240",0,1,1,1
"X.2413","RD.190130.71.m.m1.w1.Rdata","X.241",0,0,0,0
"X.2422","RD.190130.71.m.m1.w1.Rdata","X.242",0,0,0,0
"X.2432","RD.190130.71.m.m1.w1.Rdata","X.243",0,0,0,0
"X.2442","RD.190130.71.m.m1.w1.Rdata","X.244",1,1,0,1
"X.2452","RD.190130.71.m.m1.w1.Rdata","X.245",0,0,0,0
"X.2462","RD.190130.71.m.m1.w1.Rdata","X.246",0,0,0,0
"X.2472","RD.190130.71.m.m1.w1.Rdata","X.247",1,0,1,1
"X.2482","RD.190130.71.m.m1.w1.Rdata","X.248",0,0,0,0
"X.2492","RD.190130.71.m.m1.w1.Rdata","X.249",0,1,0,1
"X.2502","RD.190130.71.m.m1.w1.Rdata","X.250",0,0,0,0
"X.2513","RD.190130.71.m.m1.w1.Rdata","X.251",0,0,0,0
"X.2522","RD.190130.71.m.m1.w1.Rdata","X.252",0,0,0,0
"X.2532","RD.190130.71.m.m1.w1.Rdata","X.253",0,0,0,0
"X.2542","RD.190130.71.m.m1.w1.Rdata","X.254",0,1,0,1
"X.2552","RD.190130.71.m.m1.w1.Rdata","X.255",0,0,0,0
"X.2562","RD.190130.71.m.m1.w1.Rdata","X.256",0,0,0,1
"X.2572","RD.190130.71.m.m1.w1.Rdata","X.257",0,0,0,1
"X.2582","RD.190130.71.m.m1.w1.Rdata","X.258",0,1,0,0
"X.2592","RD.190130.71.m.m1.w1.Rdata","X.259",0,1,0,1
"X.2602","RD.190130.71.m.m1.w1.Rdata","X.260",0,0,0,0
"X.2613","RD.190130.71.m.m1.w1.Rdata","X.261",1,0,1,1
"X.2622","RD.190130.71.m.m1.w1.Rdata","X.262",1,0,1,1
"X.2632","RD.190130.71.m.m1.w1.Rdata","X.263",1,0,0,1
"X.2642","RD.190130.71.m.m1.w1.Rdata","X.264",0,0,1,1
"X.2652","RD.190130.71.m.m1.w1.Rdata","X.265",0,1,0,0
"X.2662","RD.190130.71.m.m1.w1.Rdata","X.266",0,0,0,0
"X.2672","RD.190130.71.m.m1.w1.Rdata","X.267",1,0,0,0
"X.2682","RD.190130.71.m.m1.w1.Rdata","X.268",0,1,0,1
"X.2692","RD.190130.71.m.m1.w1.Rdata","X.269",0,0,0,0
"X.2702","RD.190130.71.m.m1.w1.Rdata","X.270",0,0,0,0
"X.2713","RD.190130.71.m.m1.w1.Rdata","X.271",0,0,0,1
"X.2722","RD.190130.71.m.m1.w1.Rdata","X.272",0,0,0,0
"X.2732","RD.190130.71.m.m1.w1.Rdata","X.273",1,0,1,1
"X.2742","RD.190130.71.m.m1.w1.Rdata","X.274",1,0,0,0
"X.2752","RD.190130.71.m.m1.w1.Rdata","X.275",0,0,0,0
"X.2762","RD.190130.71.m.m1.w1.Rdata","X.276",1,1,0,1
"X.2772","RD.190130.71.m.m1.w1.Rdata","X.277",0,0,0,0
"X.2782","RD.190130.71.m.m1.w1.Rdata","X.278",0,0,0,0
"X.2792","RD.190130.71.m.m1.w1.Rdata","X.279",0,1,0,1
"X.2802","RD.190130.71.m.m1.w1.Rdata","X.280",1,1,1,1
"X.2813","RD.190130.71.m.m1.w1.Rdata","X.281",1,0,1,1
"X.2822","RD.190130.71.m.m1.w1.Rdata","X.282",0,0,0,1
"X.2832","RD.190130.71.m.m1.w1.Rdata","X.283",0,0,1,1
"X.2842","RD.190130.71.m.m1.w1.Rdata","X.284",0,0,1,1
"X.2852","RD.190130.71.m.m1.w1.Rdata","X.285",0,0,0,0
"X.2862","RD.190130.71.m.m1.w1.Rdata","X.286",0,0,1,0
"X.2872","RD.190130.71.m.m1.w1.Rdata","X.287",0,0,1,1
"X.2882","RD.190130.71.m.m1.w1.Rdata","X.288",0,0,0,0
"X.2892","RD.190130.71.m.m1.w1.Rdata","X.289",1,1,0,1
"X.2902","RD.190130.71.m.m1.w1.Rdata","X.290",0,0,0,1
"X.2913","RD.190130.71.m.m1.w1.Rdata","X.291",1,1,1,1
"X.2922","RD.190130.71.m.m1.w1.Rdata","X.292",1,1,1,1
"X.2932","RD.190130.71.m.m1.w1.Rdata","X.293",1,0,0,1
"X.2942","RD.190130.71.m.m1.w1.Rdata","X.294",1,1,0,1
"X.2952","RD.190130.71.m.m1.w1.Rdata","X.295",0,0,0,0
"X.2962","RD.190130.71.m.m1.w1.Rdata","X.296",0,0,0,0
"X.2972","RD.190130.71.m.m1.w1.Rdata","X.297",0,1,0,1
"X.2982","RD.190130.71.m.m1.w1.Rdata","X.298",0,1,1,0
"X.2992","RD.190130.71.m.m1.w1.Rdata","X.299",1,0,1,1
"X.3002","RD.190130.71.m.m1.w1.Rdata","X.300",0,0,0,0
"X.3013","RD.190130.71.m.m1.w1.Rdata","X.301",1,0,0,1
"X.3022","RD.190130.71.m.m1.w1.Rdata","X.302",0,0,0,0
"X.3032","RD.190130.71.m.m1.w1.Rdata","X.303",1,1,0,1
"X.3042","RD.190130.71.m.m1.w1.Rdata","X.304",0,0,0,0
"X.3052","RD.190130.71.m.m1.w1.Rdata","X.305",0,0,0,0
"X.3062","RD.190130.71.m.m1.w1.Rdata","X.306",0,0,0,0
"X.3072","RD.190130.71.m.m1.w1.Rdata","X.307",1,1,0,1
"X.3082","RD.190130.71.m.m1.w1.Rdata","X.308",1,0,0,0
"X.3092","RD.190130.71.m.m1.w1.Rdata","X.309",0,1,0,1
"X.3103","RD.190130.71.m.m1.w1.Rdata","X.310",1,0,1,1
"X.3113","RD.190130.71.m.m1.w1.Rdata","X.311",0,0,0,0
"X.3122","RD.190130.71.m.m1.w1.Rdata","X.312",0,0,0,0
"X.3132","RD.190130.71.m.m1.w1.Rdata","X.313",1,1,1,1
"X.3142","RD.190130.71.m.m1.w1.Rdata","X.314",0,1,0,0
"X.3152","RD.190130.71.m.m1.w1.Rdata","X.315",0,0,0,1
"X.3162","RD.190130.71.m.m1.w1.Rdata","X.316",1,1,0,1
"X.3172","RD.190130.71.m.m1.w1.Rdata","X.317",0,0,1,1
"X.3182","RD.190130.71.m.m1.w1.Rdata","X.318",0,0,1,1
"X.3192","RD.190130.71.m.m1.w1.Rdata","X.319",0,0,1,1
"X.3202","RD.190130.71.m.m1.w1.Rdata","X.320",0,0,1,1
"X.3213","RD.190130.71.m.m1.w1.Rdata","X.321",1,0,1,1
"X.3222","RD.190130.71.m.m1.w1.Rdata","X.322",0,0,1,1
"X.3232","RD.190130.71.m.m1.w1.Rdata","X.323",1,0,1,1
"X.3242","RD.190130.71.m.m1.w1.Rdata","X.324",0,0,1,1
"X.3252","RD.190130.71.m.m1.w1.Rdata","X.325",1,0,0,1
