"","exp_name","cell_name","Menthol.400uM","AITC.100uM","Capsaicin.300nM","K.40mM"
"X.3685","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3685",0,0,0,0
"X.3686","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3686",0,0,0,0
"X.3687","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3687",1,0,0,0
"X.3688","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3688",0,0,1,0
"X.3689","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3689",0,1,0,0
"X.3690","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3690",0,0,0,0
"X.3691","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3691",0,1,0,1
"X.3692","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3692",0,0,1,0
"X.3693","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3693",0,0,0,0
"X.3694","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3694",0,0,0,0
"X.3695","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3695",0,0,0,0
"X.3696","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3696",0,1,0,0
"X.3697","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3697",0,0,0,0
"X.3698","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3698",0,0,0,0
"X.3699","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3699",0,0,0,0
"X.3700","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3700",0,0,0,0
"X.3701","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3701",0,0,0,0
"X.3702","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3702",0,0,0,0
"X.3703","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3703",0,0,0,0
"X.3704","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3704",0,1,0,1
"X.3705","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3705",0,0,0,0
"X.3706","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3706",0,1,0,0
"X.3707","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3707",0,0,0,0
"X.3708","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3708",0,0,0,0
"X.3709","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3709",0,0,0,0
"X.3710","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3710",0,0,0,0
"X.3711","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3711",0,0,0,0
"X.3712","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3712",0,0,0,0
"X.3713","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3713",0,0,0,0
"X.3714","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3714",0,0,0,0
"X.3715","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3715",0,0,0,0
"X.3716","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3716",0,0,0,0
"X.3717","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3717",0,0,0,0
"X.3718","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3718",0,0,1,0
"X.3719","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3719",0,0,0,0
"X.3720","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3720",0,0,0,0
"X.3721","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3721",0,0,0,0
"X.3722","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3722",0,0,0,0
"X.3723","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3723",0,0,0,0
"X.3724","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3724",0,0,1,0
"X.3725","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3725",0,0,1,0
"X.3726","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3726",0,0,0,0
"X.3727","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3727",0,0,0,0
"X.3728","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3728",0,0,0,0
"X.3729","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3729",0,0,0,1
"X.3730","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3730",0,0,0,0
"X.3731","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3731",0,0,0,0
"X.3732","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3732",0,0,0,0
"X.3733","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3733",0,0,0,0
"X.3734","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3734",0,0,0,0
"X.3735","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3735",1,0,0,0
"X.3736","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3736",0,0,0,0
"X.3737","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3737",0,0,0,0
"X.3738","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3738",0,0,0,0
"X.3739","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3739",0,0,0,0
"X.3740","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3740",0,0,0,0
"X.3741","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3741",0,0,0,0
"X.3742","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3742",0,0,0,0
"X.3743","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3743",1,0,0,0
"X.3744","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3744",0,1,0,1
"X.3745","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3745",0,0,0,0
"X.3746","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3746",0,0,0,0
"X.3747","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3747",0,0,1,0
"X.3748","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3748",0,0,0,0
"X.3749","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3749",0,0,0,0
"X.3750","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3750",1,1,1,1
"X.3751","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3751",0,0,0,0
"X.3752","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3752",0,0,0,0
"X.3753","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3753",0,0,0,1
"X.3754","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3754",0,1,0,0
"X.3755","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3755",0,0,0,0
"X.3756","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3756",0,0,0,0
"X.3757","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3757",0,0,0,0
"X.3758","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3758",0,0,0,0
"X.3759","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3759",0,0,0,0
"X.3760","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3760",0,0,0,0
"X.3761","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3761",0,0,0,1
"X.3762","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3762",0,0,0,0
"X.3763","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3763",1,0,0,0
"X.3764","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3764",0,0,0,0
"X.3765","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3765",1,0,1,0
"X.3766","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3766",0,0,0,0
"X.3767","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3767",0,0,0,0
"X.3768","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3768",0,0,0,0
"X.3769","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3769",0,0,0,0
"X.3770","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3770",0,0,0,0
"X.3771","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3771",0,1,0,0
"X.3772","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3772",0,0,1,0
"X.3773","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3773",0,0,1,0
"X.3774","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3774",0,0,0,0
"X.3775","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3775",0,0,0,0
"X.3776","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3776",0,0,0,1
"X.3777","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3777",0,0,0,0
"X.3778","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3778",0,0,0,0
"X.3779","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3779",0,0,0,0
"X.3780","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3780",0,0,0,1
"X.3781","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3781",0,0,0,0
"X.3782","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3782",0,0,0,0
"X.3783","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3783",0,0,0,0
"X.3784","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3784",1,0,0,1
"X.3785","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3785",0,0,0,0
"X.3786","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3786",0,0,0,1
"X.3787","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3787",0,0,0,0
"X.3788","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3788",0,0,0,0
"X.3789","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3789",0,1,0,0
"X.3790","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3790",0,0,0,1
"X.3791","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3791",0,0,0,0
"X.3792","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3792",0,0,0,0
"X.3793","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3793",0,0,0,0
"X.3794","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3794",0,1,0,0
"X.3795","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3795",0,0,0,0
"X.3796","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3796",0,0,0,0
"X.3797","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3797",0,0,0,0
"X.3798","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3798",0,0,1,0
"X.3799","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3799",1,1,0,0
"X.3800","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3800",0,0,0,0
"X.3801","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3801",0,0,0,1
"X.3802","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3802",0,0,0,0
"X.3803","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3803",0,0,0,0
"X.3804","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3804",0,0,0,0
"X.3805","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3805",0,0,0,0
"X.3806","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3806",0,0,0,0
"X.3807","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3807",0,0,0,0
"X.3808","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3808",0,0,0,0
"X.3809","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3809",0,0,0,0
"X.3810","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3810",0,0,1,0
"X.3811","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3811",0,0,0,0
"X.3812","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3812",0,0,0,0
"X.3813","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3813",0,0,0,0
"X.3814","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3814",1,0,0,0
"X.3815","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3815",0,0,0,0
"X.3816","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3816",0,0,0,0
"X.3817","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3817",0,1,0,0
"X.3818","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3818",0,0,0,0
"X.3819","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3819",0,0,0,0
"X.3820","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3820",0,0,0,0
"X.3821","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3821",0,0,0,0
"X.3822","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3822",0,0,0,1
"X.3823","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3823",0,0,0,0
"X.3824","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3824",1,0,0,1
"X.3825","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3825",0,0,0,0
"X.3826","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3826",0,0,0,0
"X.3827","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3827",0,0,0,1
"X.3828","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3828",0,0,0,0
"X.3829","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3829",0,0,0,0
"X.3830","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3830",0,0,0,0
"X.3831","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3831",0,1,1,0
"X.3832","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3832",0,0,0,1
"X.3833","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3833",0,0,0,0
"X.3834","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3834",0,0,0,0
"X.3835","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3835",0,0,0,0
"X.3836","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3836",0,0,1,0
"X.3837","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3837",1,0,0,1
"X.3838","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3838",0,0,0,0
"X.3839","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3839",0,0,0,0
"X.3840","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3840",0,0,0,0
"X.3841","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3841",0,0,0,0
"X.3842","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3842",0,0,0,1
"X.3843","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3843",0,0,0,0
"X.3844","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3844",0,0,0,0
"X.3845","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3845",0,0,0,0
"X.3846","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3846",1,0,1,0
"X.3847","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3847",0,0,0,0
"X.3848","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3848",0,0,0,0
"X.3849","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3849",0,0,0,0
"X.3850","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3850",0,0,0,0
"X.3851","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3851",0,0,1,0
"X.3852","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3852",0,0,0,0
"X.3853","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3853",0,0,0,0
"X.3854","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3854",0,0,0,0
"X.3855","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3855",0,0,0,0
"X.3856","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3856",0,0,0,0
"X.3857","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3857",0,0,1,0
"X.3858","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3858",0,0,0,0
"X.3859","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3859",0,0,0,0
"X.3860","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3860",0,0,1,0
"X.3861","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3861",0,0,1,0
"X.3862","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3862",0,0,0,0
"X.3863","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3863",0,0,0,0
"X.3864","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3864",0,0,0,0
"X.3865","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3865",0,0,0,0
"X.3866","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3866",0,0,0,0
"X.3867","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3867",0,0,0,0
"X.3868","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3868",0,0,0,0
"X.3869","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3869",0,0,0,0
"X.3870","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3870",0,0,0,0
"X.3871","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3871",0,0,0,0
"X.3872","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3872",0,0,0,0
"X.3873","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3873",0,0,0,0
"X.3874","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3874",0,0,0,0
"X.3875","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3875",0,1,0,1
"X.3876","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3876",0,0,0,0
"X.3877","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3877",0,0,0,0
"X.3878","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3878",0,0,0,0
"X.3879","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3879",0,0,0,0
"X.3880","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3880",0,0,0,0
"X.3881","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3881",0,0,0,0
"X.3882","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3882",0,0,0,0
"X.3883","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3883",0,0,0,0
"X.3884","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3884",1,1,1,0
"X.3885","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3885",0,0,0,0
"X.3886","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3886",0,0,0,0
"X.3887","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3887",0,0,0,0
"X.3888","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3888",1,0,0,0
"X.3889","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3889",0,0,0,0
"X.3890","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3890",0,0,0,0
"X.3891","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3891",0,1,0,1
"X.3892","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3892",0,0,0,0
"X.3893","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3893",1,0,0,0
"X.3894","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3894",1,0,0,0
"X.3895","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3895",0,0,0,0
"X.3896","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3896",0,0,0,0
"X.3897","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3897",0,1,0,0
"X.3898","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3898",0,0,1,0
"X.3899","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3899",0,0,1,0
"X.3900","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3900",0,0,0,0
"X.3901","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3901",0,0,0,0
"X.3902","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3902",0,0,0,0
"X.3903","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3903",1,0,0,0
"X.3904","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3904",0,0,0,0
"X.3905","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3905",0,0,0,0
"X.3906","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3906",0,0,0,0
"X.3907","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3907",0,0,0,0
"X.3908","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3908",0,0,0,0
"X.3909","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3909",0,0,0,0
"X.3910","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3910",0,0,0,0
"X.3911","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3911",0,0,0,0
"X.3912","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3912",0,0,0,0
"X.3913","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3913",0,0,0,0
"X.3914","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3914",0,0,0,0
"X.3915","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3915",0,0,0,0
"X.3916","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3916",0,1,0,0
"X.3917","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3917",0,0,0,0
"X.3918","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3918",0,0,1,0
"X.3919","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3919",0,0,0,0
"X.3920","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3920",0,0,0,0
"X.3921","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3921",0,0,0,0
"X.3922","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3922",0,0,0,0
"X.3923","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3923",0,0,0,0
"X.3924","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3924",0,1,0,0
"X.3925","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3925",0,0,0,0
"X.3926","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3926",0,1,0,0
"X.3927","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3927",0,0,0,0
"X.3928","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3928",1,0,0,0
"X.3929","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3929",0,1,0,0
"X.3930","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3930",0,0,0,0
"X.3931","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3931",0,0,0,0
"X.3932","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3932",1,0,0,0
"X.3933","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3933",0,0,0,0
"X.3934","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3934",1,0,0,0
"X.3935","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3935",0,0,0,0
"X.3936","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3936",0,0,0,0
"X.3937","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3937",1,0,0,0
"X.3938","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3938",0,0,0,0
"X.3939","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3939",0,0,0,0
"X.3940","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3940",0,0,0,0
"X.3941","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3941",0,0,0,0
"X.3942","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3942",0,0,0,0
"X.3943","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3943",0,0,1,0
"X.3944","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3944",0,0,0,0
"X.3945","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3945",0,0,0,0
"X.3946","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3946",0,1,1,0
"X.3947","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3947",0,0,0,0
"X.3948","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3948",1,0,0,1
"X.3949","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3949",0,1,0,1
"X.3950","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3950",0,0,1,0
"X.3951","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3951",0,0,0,0
"X.3952","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3952",0,0,0,0
"X.3953","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3953",0,0,0,0
"X.3954","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3954",0,0,0,0
"X.3955","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3955",1,0,0,0
"X.3956","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3956",0,1,0,1
"X.3957","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3957",0,0,0,0
"X.3958","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3958",0,0,0,1
"X.3959","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3959",0,0,0,0
"X.3960","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3960",0,0,0,0
"X.3961","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3961",0,0,0,0
"X.3962","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3962",0,0,0,0
"X.3963","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3963",0,0,1,0
"X.3964","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3964",0,0,0,0
"X.3965","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3965",0,0,0,0
"X.3966","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3966",0,1,0,0
"X.3967","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3967",0,0,0,0
"X.3968","RD.190309.40.m.m1.p2.CCI.ipsi.Rdata","X.3968",0,0,0,0
